date,home,away,side,line,model_prob,market_prob,edge,won,push,profit,odds
2022-07-31,MIA,NYM,OVER,7.0,0.7215265,0.5024159422174648,0.21911056134546247,True,False,98.956,1.98956
2022-07-31,ATL,ARI,OVER,8.0,0.5497052,0.5178662869846503,0.03183892036321956,False,False,-100.0,1.93015
2022-07-31,HOU,SEA,OVER,8.0,0.58792025,0.5120553300405928,0.07586491846786059,False,False,-100.0,1.95213
2022-07-31,BOS,MIL,OVER,9.5,0.57883763,0.5,0.07883763313293457,False,False,-100.0,1.99917
2022-07-31,TOR,DET,UNDER,8.5,0.61177003,0.49289100711149336,0.11887902672487138,True,False,102.80100000000002,2.02801
2022-07-31,PIT,PHI,OVER,7.5,0.514826,0.4683670114186643,0.046458988318121563,True,False,113.423,2.13423
2022-07-31,WSH,STL,OVER,9.0,0.67446667,0.5048315702603346,0.1696350992991441,False,False,-100.0,1.98003
2022-07-31,TB,CLE,OVER,6.5,0.5978681,0.5338647600364463,0.0640033248710854,True,False,87.24000000000001,1.8724
2022-07-31,NYY,KC,OVER,8.5,0.50200355,0.48794466995940733,0.014058880570072652,True,False,104.859,2.04859
2022-07-31,SF,CHC,OVER,8.0,0.5588418,0.5071089928885066,0.05173283164304854,True,False,97.115,1.97115
2022-07-31,COL,LAD,OVER,11.0,0.5155492,0.5071089928885066,0.008440190003339065,False,False,-100.0,1.97115
2022-08-01,SF,CHC,OVER,7.5,0.5765671,0.4706012835690696,0.10596582983043601,False,False,-100.0,2.12408
2022-08-16,TOR,BAL,OVER,9.0,0.5947504,0.5249160483601363,0.06983435599777388,True,False,90.426,1.90426
2022-08-16,WSH,CHC,OVER,7.5,0.63706934,0.5202692748506178,0.11680006966995105,True,False,92.12400000000001,1.92124
2022-08-16,NYY,TB,UNDER,7.5,0.5685853,0.5338647600364465,0.03472051656725228,True,False,87.24000000000001,1.8724
2022-08-16,ATL,NYM,OVER,8.5,0.6973776,0.48794466995940733,0.20943295216812563,True,False,104.859,2.04859
2022-08-16,CIN,PHI,OVER,9.0,0.5699905,0.5095128805152206,0.06047763519370275,False,False,-100.0,1.96187
2022-08-16,MIN,KC,UNDER,8.5,0.73746336,0.5120553300405927,0.22540802502379942,True,False,95.213,1.95213
2022-08-16,MIA,SD,OVER,6.0,0.6120601,0.5225200490211985,0.08954008062128804,False,False,-100.0,1.91299
2022-08-16,LAA,SEA,OVER,6.5,0.75451887,0.5156056740636721,0.23891319247532938,True,False,93.858,1.93858
2022-08-16,MIL,LAD,UNDER,7.5,0.6541767,0.4975840577825352,0.15659265425359759,True,False,100.888,2.00888
2022-08-16,TEX,OAK,OVER,8.5,0.7513124,0.4951684297396654,0.25614394532899915,False,False,-100.0,2.01867
2022-08-16,SF,ARI,OVER,8.0,0.56696093,0.4797307251493821,0.0872302056748977,False,False,-100.0,2.08359
2022-08-16,CWS,HOU,OVER,8.5,0.65237045,0.49048711948477935,0.16188333339608002,False,False,-100.0,2.03797
2022-08-17,MIA,SD,OVER,7.5,0.6120383,0.47851929144865596,0.13351902289384282,False,False,-100.0,2.08901
2022-08-17,NYY,TB,OVER,7.0,0.5739351,0.49758405778253517,0.07635103371297874,False,False,-100.0,2.00888
2022-08-17,CIN,PHI,OVER,9.0,0.68295705,0.5144535681621678,0.16850348502234147,True,False,94.30499999999999,1.94305
2022-08-17,PIT,BOS,OVER,7.5,0.5435167,0.5202692748506178,0.023247420648802364,True,False,92.12400000000001,1.92124
2022-08-17,TOR,BAL,UNDER,8.5,0.5339396,0.4855464318378322,0.048393168153012533,True,False,105.87300000000002,2.05873
2022-08-17,ATL,NYM,UNDER,8.5,0.599856,0.4831526355233575,0.11670338349672305,True,False,106.894,2.06894
2022-08-17,TOR,BAL,OVER,8.5,0.5907295,0.4750839516398636,0.1156455233814987,False,False,-100.0,2.104
2022-08-17,LAA,SEA,OVER,8.5,0.66228366,0.48315263552335747,0.17913102345796578,True,False,106.894,2.06894
2022-08-17,SF,ARI,UNDER,7.5,0.5778488,0.4797307251493822,0.09811806692672864,True,False,108.35900000000001,2.08359
2022-08-17,LAA,SEA,OVER,8.0,0.5288409,0.4797307251493821,0.049110174318086175,True,False,108.35900000000001,2.08359
2022-08-17,CWS,HOU,OVER,6.5,0.69733936,0.5349652177159425,0.16237413822964464,True,False,86.84400000000001,1.86844
2022-08-18,ATL,NYM,OVER,7.5,0.54106224,0.5178662869846503,0.02319594884756404,True,False,93.015,1.93015
2022-08-18,STL,COL,OVER,7.0,0.5759653,0.5082241859581215,0.06774109934308703,False,False,-100.0,1.9667
2022-08-18,NYY,TB,OVER,8.5,0.6716086,0.5024159422174648,0.169192684625034,True,False,98.956,1.98956
2022-08-18,TEX,OAK,OVER,8.0,0.6580923,0.49758405778253517,0.16050826218282738,True,False,100.888,2.00888
2022-08-18,MIL,LAD,UNDER,7.0,0.6051713,0.4892161691212684,0.11595515370130238,False,False,-100.0,2.04312
2022-08-18,STL,COL,OVER,7.5,0.5723434,0.48794466995940733,0.08439873910202456,True,False,104.859,2.04859
2022-08-18,BAL,CHC,OVER,9.0,0.6903796,0.4868043179960659,0.2035753016023228,False,False,-100.0,2.05326
2022-08-18,SF,ARI,OVER,7.5,0.62377656,0.4728416180819814,0.15093493697935895,False,False,-100.0,2.114
2022-08-18,CWS,HOU,OVER,8.0,0.5065463,0.4928910071114935,0.013655311419542904,False,False,-100.0,2.02801
2022-08-18,MIL,LAD,UNDER,8.0,0.6091905,0.4879446699594072,0.12124585366501295,True,False,104.859,2.04859
2022-08-19,TB,KC,OVER,7.5,0.6153857,0.5071089928885066,0.10827671830457808,True,False,97.115,1.97115
2022-08-19,NYY,TOR,OVER,9.0,0.72420055,0.48315263552335747,0.24104791121812813,True,False,106.894,2.06894
2022-08-19,PIT,BOS,OVER,8.5,0.66989076,0.5202692748506178,0.14962148652480944,True,False,92.12400000000001,1.92124
2022-08-19,ATL,NYM,UNDER,6.5,0.6404915,0.5048315702603345,0.13565991533536859,True,False,98.003,1.98003
2022-08-19,CHC,MIL,UNDER,10.5,0.5401635,0.5178662869846503,0.0222972300136407,False,False,-100.0,1.93015
2022-08-19,SD,WSH,UNDER,8.0,0.7449558,0.49516842973966535,0.2497873483822829,True,False,101.86700000000002,2.01867
2022-08-20,DET,LAA,UNDER,8.0,0.5820208,0.5168473644766425,0.06517345471052183,True,False,93.40599999999999,1.93406
2022-08-20,PHI,NYM,UNDER,7.5,0.6472695,0.4904871194847794,0.15678236789620204,False,False,-100.0,2.03797
2022-08-20,CLE,CWS,OVER,7.5,0.64083034,0.4750839516398636,0.1657463863613876,False,False,-100.0,2.104
2022-08-20,PIT,CIN,UNDER,8.0,0.5189917,0.4904871194847794,0.028504589270713754,False,False,-100.0,2.03797
2022-08-20,NYY,TOR,OVER,8.0,0.50243473,0.4951684297396654,0.007266300790119751,False,False,-100.0,2.01867
2022-08-20,TB,KC,UNDER,6.5,0.53662527,0.5249160483601364,0.011709217714997888,True,False,90.426,1.90426
2022-08-20,BAL,BOS,OVER,9.0,0.67002565,0.4809070136226853,0.18911863306386867,True,False,107.863,2.07863
