date,home,away,side,model_prob,market_prob,edge,clv,odds,won,profit
2021-05-25,DET,CLE,HOME,0.5615053349459249,0.5457532213083888,0.015752113637536147,1.5752113637536147,1.8,False,-100.0
2021-05-25,NYM,COL,AWAY,0.5401518166702335,0.42786972222697633,0.11228209444325715,11.228209444325715,2.28,True,127.99999999999999
2021-05-25,MIA,PHI,HOME,0.6747782672632425,0.5599793927583465,0.11479887450489601,11.479887450489601,1.757,True,75.69999999999999
2021-05-26,LAA,TEX,AWAY,0.5656699459331472,0.5182474942733651,0.047422451659782094,4.742245165978209,1.892,False,-100.0
2021-05-26,OAK,SEA,AWAY,0.4496059469434067,0.36867039023760806,0.08093555670579866,8.093555670579866,2.63,False,-100.0
2021-05-26,CWS,STL,AWAY,0.47883480309517956,0.32867815506378,0.15015664803139955,15.015664803139956,2.93,True,193.00000000000003
2021-05-26,MIN,BAL,AWAY,0.5166977773149793,0.3679852805887765,0.14871249672620285,14.871249672620285,2.63,False,-100.0
2021-05-26,ARI,SF,AWAY,0.6942246130575259,0.6103925434446893,0.08383206961283662,8.383206961283662,1.613,True,61.3
2021-05-26,OAK,SEA,AWAY,0.4496059469434067,0.3837372167539669,0.06586873018943984,6.586873018943984,2.53,True,152.99999999999997
2021-05-26,LAA,TEX,AWAY,0.5656699459331472,0.37786754231171804,0.1878024036214292,18.78024036214292,2.57,False,-100.0
2021-05-26,HOU,LAD,AWAY,0.6189303943713766,0.520597437619412,0.09833295675196463,9.833295675196464,1.884,True,88.39999999999999
2021-05-26,CWS,STL,AWAY,0.47883480309517956,0.45025777257479904,0.02857703052038052,2.857703052038052,2.17,False,-100.0
2021-05-26,MIL,SD,AWAY,0.6924828856045497,0.4544586942492797,0.23802419135527003,23.802419135527003,2.15,True,114.99999999999999
2021-05-26,MIN,BAL,AWAY,0.5166977773149793,0.3639645935243419,0.15273318379063744,15.273318379063744,2.66,False,-100.0
2021-05-26,NYM,COL,AWAY,0.5401518166702335,0.30753995712893,0.23261185954130348,23.261185954130347,3.12,False,-100.0
2021-05-26,DET,CLE,HOME,0.5615053349459249,0.41787851435830575,0.14362682058761916,14.362682058761916,2.33,False,-100.0
