date,home,away,side,model_prob,market_prob,edge,won,push,profit,odds
2022-10-18,Washington Capitals,Vancouver Canucks,HOME,0.5839075,0.55284359837975,0.0310638866284898,True,False,80.82199999999999,1.80822
2022-10-18,Detroit Red Wings,Los Angeles Kings,AWAY,0.78128195,0.571297321664821,0.20998462642477866,True,False,74.98100000000001,1.74981
2022-10-18,Montreal Canadiens,Pittsburgh Penguins,AWAY,0.85410845,0.7071842424593824,0.14692421033755365,False,False,-100.0,1.41406
2022-10-18,Minnesota Wild,Colorado Avalanche,AWAY,0.78075707,0.5294833008537723,0.25127376873393525,True,False,88.80799999999999,1.88808
2022-10-18,Toronto Maple Leafs,Arizona Coyotes,AWAY,0.41222554,0.16651561855934793,0.2457099258933193,True,False,500.54299999999995,6.00543
2022-10-18,Dallas Stars,Winnipeg Jets,HOME,0.7218032,0.5849047438625126,0.13689844446146204,True,False,70.90799999999999,1.70908
2022-10-18,Seattle Kraken,Carolina Hurricanes,HOME,0.44738814,0.38055451400434387,0.06683362834299195,False,False,-100.0,2.62674
2022-10-19,New York Islanders,San Jose Sharks,HOME,0.7982837,0.6376414623321869,0.1606422338424347,True,False,56.765,1.56765
2022-10-19,Tampa Bay Lightning,Philadelphia Flyers,AWAY,0.34158224,0.25454600655406723,0.08703623212009659,True,False,292.855,3.92855
2022-10-19,Edmonton Oilers,Buffalo Sabres,AWAY,0.5112483,0.3177220460726352,0.19352624446615263,True,False,214.597,3.14597
2022-10-19,Columbus Blue Jackets,Vancouver Canucks,HOME,0.67592806,0.5023881447990957,0.17353991144098613,True,False,98.99100000000001,1.98991
2022-10-19,Nashville Predators,Los Angeles Kings,HOME,0.733833,0.6328716433729787,0.10096137159207863,False,False,-100.0,1.5795
2022-10-19,Calgary Flames,Vegas Golden Knights,HOME,0.7817404,0.5993129624291343,0.18242746458807757,True,False,66.798,1.66798
2022-10-19,New Jersey Devils,Anaheim Ducks,AWAY,0.5236261,0.3623585376678131,0.16126755142825622,False,False,-100.0,2.75859
2022-10-19,Ottawa Senators,Boston Bruins,HOME,0.56564164,0.5579127860358971,0.007728855580924177,True,False,79.189,1.79189
2022-10-20,Florida Panthers,Philadelphia Flyers,AWAY,0.29748994,0.23113080132784558,0.06635913979230212,False,False,-100.0,4.32655
2022-10-20,Seattle Kraken,St. Louis Blues,HOME,0.56450295,0.44816786565997413,0.1163350888230581,False,False,-100.0,2.23066
2022-10-20,Colorado Avalanche,Winnipeg Jets,HOME,0.715836,0.68331503960754,0.032520948914035896,False,False,-100.0,1.46279
2022-10-21,Columbus Blue Jackets,Nashville Predators,AWAY,0.68270504,0.5608067488592576,0.1218982958871413,False,False,-100.0,1.78258
2022-10-21,New York Rangers,San Jose Sharks,AWAY,0.31842297,0.27520520211036525,0.04321777104561009,True,False,263.365,3.63365
2022-10-21,New York Islanders,New Jersey Devils,HOME,0.7341255,0.5883669771002723,0.1457585178566979,False,False,-100.0,1.69904
2022-10-21,Ottawa Senators,Washington Capitals,AWAY,0.7181502,0.49761185520090434,0.2205383432587209,False,False,-100.0,2.00901
2022-10-21,Pittsburgh Penguins,Los Angeles Kings,HOME,0.76196384,0.6389923521782677,0.12297149212104874,True,False,56.434000000000005,1.56434
2022-10-21,Montreal Canadiens,Arizona Coyotes,AWAY,0.64695144,0.37189651989615546,0.2750549171003045,False,False,-100.0,2.68795
2022-10-21,Toronto Maple Leafs,Dallas Stars,HOME,0.72303545,0.6287961929491102,0.09423926180095088,True,False,58.971,1.58971
2022-10-21,Boston Bruins,Anaheim Ducks,HOME,0.79150623,0.6590506505534425,0.13245558027770377,True,False,51.672000000000004,1.51672
2022-10-21,Edmonton Oilers,Carolina Hurricanes,HOME,0.55811644,0.5169226926439366,0.04119374336070203,True,False,93.39999999999999,1.934
2022-10-21,Calgary Flames,Buffalo Sabres,HOME,0.73629546,0.7220995894253962,0.014195872229266882,False,False,-100.0,1.38485
2022-10-21,Vegas Golden Knights,Winnipeg Jets,HOME,0.71982753,0.6802010019630118,0.0396265308052377,True,False,46.947,1.46947
2022-10-21,Minnesota Wild,Vancouver Canucks,HOME,0.68330735,0.6294602546483711,0.05384709503348317,True,False,58.81000000000001,1.5881
2022-10-22,Florida Panthers,Tampa Bay Lightning,HOME,0.53494126,0.5047772173865207,0.03016403865977446,False,False,-100.0,1.98049
2022-10-22,Colorado Avalanche,Seattle Kraken,HOME,0.83110166,0.6812413778120553,0.14986027814802771,False,False,-100.0,1.46723
2022-10-22,Chicago Blackhawks,Detroit Red Wings,AWAY,0.63052475,0.5169226926439365,0.11360206188029442,False,False,-100.0,1.934
2022-10-22,Ottawa Senators,Arizona Coyotes,AWAY,0.48560756,0.28399517673445407,0.20161238771485623,False,False,-100.0,3.52119
2022-10-22,Edmonton Oilers,St. Louis Blues,HOME,0.6952812,0.600928886895066,0.09435232066642696,False,False,-100.0,1.6635
2022-10-22,Boston Bruins,Minnesota Wild,HOME,0.7073237,0.5096716295533402,0.19765204083392784,True,False,96.149,1.96149
2022-10-22,New Jersey Devils,San Jose Sharks,AWAY,0.41228682,0.3513603480156223,0.06092647001187401,False,False,-100.0,2.84494
2022-10-23,Tampa Bay Lightning,New York Islanders,HOME,0.643745,0.5497995736452342,0.09394543148553358,True,False,81.831,1.81831
2022-10-23,Montreal Canadiens,Dallas Stars,AWAY,0.804047,0.6171826991255023,0.18686428936174138,True,False,61.96999999999999,1.6197
2022-10-23,Washington Capitals,Los Angeles Kings,AWAY,0.48354495,0.4391932511407426,0.04435169457611532,False,False,-100.0,2.27618
2022-10-23,Columbus Blue Jackets,Pittsburgh Penguins,HOME,0.5533409,0.39124333493755453,0.16209757692767984,False,False,-100.0,2.55511
2022-10-23,Winnipeg Jets,Toronto Maple Leafs,HOME,0.63526297,0.39038755925045054,0.24487540690555532,False,False,-100.0,2.56061
2022-10-23,Calgary Flames,Carolina Hurricanes,HOME,0.70420015,0.5768137599624941,0.12738638861996443,True,False,73.31,1.7331
2022-10-23,Vegas Golden Knights,Colorado Avalanche,HOME,0.5958864,0.5508026552220852,0.04508375406059917,False,False,-100.0,1.81491
2022-10-23,Vancouver Canucks,Buffalo Sabres,AWAY,0.521225,0.40818032874037624,0.11304464684556126,True,False,144.908,2.44908
2022-10-23,Nashville Predators,Philadelphia Flyers,AWAY,0.5531596,0.33271806900289425,0.2204415255329334,True,False,200.41899999999998,3.00419
2022-10-23,Detroit Red Wings,Anaheim Ducks,AWAY,0.55081654,0.45020042635476576,0.10061610959494127,False,False,-100.0,2.22058
2022-10-23,New York Rangers,Columbus Blue Jackets,AWAY,0.36086953,0.2989328616576271,0.06193666520547103,True,False,234.524,3.34524
2022-10-23,Florida Panthers,New York Islanders,AWAY,0.4374897,0.3489376305376959,0.08855205785875797,False,False,-100.0,2.86472
2022-10-23,Chicago Blackhawks,Seattle Kraken,HOME,0.5261437,0.42870267833517905,0.097441051351558,True,False,133.183,2.33183
2022-10-24,Philadelphia Flyers,San Jose Sharks,AWAY,0.5144417,0.4596463246181518,0.05479540397376714,True,False,117.50099999999999,2.17501
2022-10-25,New Jersey Devils,Washington Capitals,AWAY,0.50459707,0.4451183958255095,0.05947867200743728,True,False,124.585,2.24585
2022-10-25,Ottawa Senators,Dallas Stars,AWAY,0.64874727,0.5,0.1487472653388977,False,False,-100.0,1.99941
2022-10-25,Edmonton Oilers,Pittsburgh Penguins,AWAY,0.45073622,0.4420872139641029,0.008649010687233782,False,False,-100.0,2.26136
2022-10-25,Vegas Golden Knights,Toronto Maple Leafs,HOME,0.6200207,0.49761185520090423,0.12240883237920441,True,False,100.901,2.00901
2022-10-25,Vancouver Canucks,Carolina Hurricanes,AWAY,0.6661061,0.6039427938372013,0.06216331101356776,True,False,65.523,1.65523
2022-10-25,Winnipeg Jets,St. Louis Blues,HOME,0.54383904,0.5156959299260736,0.028143107492291874,True,False,93.849,1.93849
2022-10-26,Montreal Canadiens,Minnesota Wild,AWAY,0.8839811,0.6468047471153252,0.2371763615501411,True,False,54.547999999999995,1.54548
2022-10-26,Boston Bruins,Dallas Stars,HOME,0.84050745,0.6315149906766581,0.2089924570429159,True,False,58.28899999999999,1.58289
2022-10-26,Columbus Blue Jackets,Arizona Coyotes,AWAY,0.4680608,0.32244273474383633,0.14561805674862582,True,False,209.99599999999998,3.09996
2022-10-26,Detroit Red Wings,New Jersey Devils,AWAY,0.5122143,0.5,0.012214303016662598,True,False,99.94099999999999,1.99941
2022-10-26,Los Angeles Kings,Tampa Bay Lightning,AWAY,0.8144153,0.5579127860358971,0.2565024900146705,False,False,-100.0,1.79189
2022-10-26,San Jose Sharks,Vegas Golden Knights,AWAY,0.6405173,0.6025427870517661,0.037974507355124754,True,False,65.90499999999999,1.65905
2022-10-26,Seattle Kraken,Buffalo Sabres,HOME,0.6478613,0.55284359837975,0.09501770351920635,True,False,80.82199999999999,1.80822
2022-10-26,Chicago Blackhawks,Florida Panthers,AWAY,0.7700674,0.6887632111728776,0.081304182606877,False,False,-100.0,1.45121
2022-10-26,New York Rangers,Colorado Avalanche,AWAY,0.5872174,0.49761185520090434,0.08960553533635762,True,False,100.901,2.00901
2022-10-26,Calgary Flames,Pittsburgh Penguins,HOME,0.8042014,0.6281034801038445,0.17609794401801215,True,False,59.152,1.59152
2022-10-27,New York Islanders,New York Rangers,HOME,0.677281,0.5786457113868727,0.09863531068496567,True,False,72.762,1.72762
2022-10-27,Anaheim Ducks,Tampa Bay Lightning,AWAY,0.7178736,0.5749767153058056,0.14289685799741703,True,False,73.86299999999999,1.73863
2022-10-27,St. Louis Blues,Edmonton Oilers,AWAY,0.62362754,0.5180746964240224,0.10555284702537948,True,False,92.96,1.9296
2022-10-28,Philadelphia Flyers,Florida Panthers,HOME,0.5204103,0.33457838597522815,0.1858319133259193,True,False,198.759,2.98759
2022-10-28,Boston Bruins,Detroit Red Wings,HOME,0.85194945,0.7010671383423729,0.15088231501150895,True,False,42.639999999999986,1.4264
2022-10-28,Ottawa Senators,Minnesota Wild,AWAY,0.6673954,0.5487589794401783,0.11863643348172725,True,False,82.16600000000001,1.82166
2022-10-28,Buffalo Sabres,Montreal Canadiens,AWAY,0.42551804,0.3657752074708055,0.05974282841786638,True,False,173.29,2.7329
2022-10-28,Seattle Kraken,Vancouver Canucks,HOME,0.6299666,0.5272681033128633,0.10269851331769086,False,False,-100.0,1.896
2022-10-28,Los Angeles Kings,Winnipeg Jets,HOME,0.65495515,0.5589499512952985,0.09600519740160096,False,False,-100.0,1.78848
2022-10-28,Chicago Blackhawks,Edmonton Oilers,HOME,0.39547125,0.35379066326028835,0.041680581790141946,False,False,-100.0,2.82535
2022-10-28,San Jose Sharks,Toronto Maple Leafs,HOME,0.33167636,0.3239768080882449,0.007699555856762408,True,False,208.514,3.08514
2022-10-28,Dallas Stars,Washington Capitals,AWAY,0.48353523,0.4564799257437415,0.027055304416018,False,False,-100.0,2.19
2022-10-28,Nashville Predators,St. Louis Blues,AWAY,0.4441138,0.3857945750674976,0.05831921592142453,False,False,-100.0,2.59113
2022-10-29,Columbus Blue Jackets,Boston Bruins,HOME,0.57415485,0.42135428861312735,0.15280056520767343,False,False,-100.0,2.37254
2022-10-29,Vegas Golden Knights,Anaheim Ducks,HOME,0.84542346,0.7183864794112054,0.1270369805955085,True,False,39.20099999999999,1.39201
2022-10-29,Carolina Hurricanes,New York Islanders,HOME,0.72761256,0.6416861988301403,0.08592635619686773,False,False,-100.0,1.55778
2022-10-29,New Jersey Devils,Colorado Avalanche,HOME,0.5151734,0.45541575085214164,0.05975762475439522,True,False,119.523,2.19523
2022-10-29,San Jose Sharks,Tampa Bay Lightning,AWAY,0.7036702,0.6441273794208902,0.05954282426487034,True,False,55.190000000000005,1.5519
2022-10-29,Florida Panthers,Ottawa Senators,HOME,0.75539035,0.6315149906766581,0.12387535537360439,True,False,58.28899999999999,1.58289
2022-10-29,Dallas Stars,New York Rangers,AWAY,0.5437679,0.512043826632877,0.031724102444271485,True,False,95.242,1.95242
2022-10-29,Vancouver Canucks,Pittsburgh Penguins,HOME,0.52496403,0.3545326138962463,0.17043142066109623,True,False,181.955,2.81955
2022-10-29,Arizona Coyotes,Winnipeg Jets,HOME,0.4958145,0.4250232846941943,0.07079121754503298,False,False,-100.0,2.35204
2022-10-30,New Jersey Devils,Columbus Blue Jackets,HOME,0.71375525,0.6355749981463632,0.07818025183074861,True,False,57.28,1.5728
2022-10-30,New York Islanders,Colorado Avalanche,HOME,0.50969696,0.4391932511407424,0.07050370930847633,True,False,127.61800000000001,2.27618
2022-10-30,Philadelphia Flyers,Carolina Hurricanes,HOME,0.38966736,0.3572143920321946,0.03245296994252156,False,False,-100.0,2.79838
2022-10-30,Los Angeles Kings,Toronto Maple Leafs,HOME,0.44943798,0.42135428861312735,0.02808368727035654,True,False,137.254,2.37254
2022-10-30,Detroit Red Wings,Minnesota Wild,AWAY,0.6197741,0.5950605856816764,0.02471351748299644,False,False,-100.0,1.67996
2022-10-30,Buffalo Sabres,Chicago Blackhawks,AWAY,0.38488394,0.3657752074708055,0.019108732749073654,False,False,-100.0,2.7329
2022-10-30,St. Louis Blues,Montreal Canadiens,AWAY,0.40995973,0.30610385279555485,0.10385588069062068,True,False,226.68699999999998,3.26687
2022-10-30,Seattle Kraken,Pittsburgh Penguins,HOME,0.5391466,0.46168819545956263,0.07745840669421544,True,False,116.53699999999998,2.16537
2022-10-30,Calgary Flames,Edmonton Oilers,HOME,0.66930795,0.581430508656138,0.08787743850267549,False,False,-100.0,1.71927
2022-10-30,Nashville Predators,Washington Capitals,HOME,0.665948,0.5589499512952985,0.10699802243288148,False,False,-100.0,1.78848
2022-10-31,Chicago Blackhawks,Minnesota Wild,HOME,0.41101405,0.3171536041462633,0.09386044609902172,False,False,-100.0,3.1515
2022-10-31,Vegas Golden Knights,Winnipeg Jets,HOME,0.8946067,0.6416861988301403,0.2529205106501453,True,False,55.77799999999999,1.55778
2022-10-31,Anaheim Ducks,Toronto Maple Leafs,HOME,0.42354864,0.3678326688408056,0.05571596997984257,True,False,171.76999999999998,2.7177
2022-10-31,Arizona Coyotes,New York Rangers,HOME,0.38470986,0.29313134954922476,0.09157851530558786,False,False,-100.0,3.41144
2022-11-01,Buffalo Sabres,Detroit Red Wings,HOME,0.6976089,0.595870561793422,0.10173832635583946,True,False,67.76100000000001,1.67761
2022-11-01,Carolina Hurricanes,Washington Capitals,HOME,0.77737194,0.6534742059491799,0.12389773704779883,True,False,52.970000000000006,1.5297
2022-11-01,St. Louis Blues,Los Angeles Kings,HOME,0.6055749,0.5383118045404373,0.06726310133190772,False,False,-100.0,1.85715
2022-11-02,Washington Capitals,Vegas Golden Knights,HOME,0.6059749,0.392844957374671,0.2131299552687616,False,False,-100.0,2.54469
2022-11-02,New York Rangers,Philadelphia Flyers,AWAY,0.36527032,0.29141732641168916,0.0738529901891104,False,False,-100.0,3.43151
2022-11-02,Tampa Bay Lightning,Ottawa Senators,HOME,0.66708636,0.6328716433729787,0.034214719465766374,True,False,57.94999999999999,1.5795
2022-11-02,San Jose Sharks,Anaheim Ducks,HOME,0.5666384,0.5477646557406296,0.018873754350770544,False,False,-100.0,1.82505
2022-11-02,Arizona Coyotes,Florida Panthers,HOME,0.4936475,0.25886950716006935,0.23477797881138146,True,False,286.295,3.86295
2022-11-02,Calgary Flames,Seattle Kraken,HOME,0.8244619,0.6770690005928148,0.147392876753224,False,False,-100.0,1.47625
2022-11-02,Vancouver Canucks,New Jersey Devils,AWAY,0.56105256,0.5072943153094365,0.05375824549683794,True,False,97.067,1.97067
2022-11-02,Dallas Stars,Los Angeles Kings,HOME,0.6629096,0.5703857674414045,0.09252385951934994,True,False,75.268,1.75268
2022-11-02,Edmonton Oilers,Nashville Predators,AWAY,0.4029163,0.39038755925045054,0.012528752967261858,False,False,-100.0,2.56061
2022-11-02,Pittsburgh Penguins,Boston Bruins,HOME,0.79292995,0.5156959299260736,0.2772340174501776,False,False,-100.0,1.93849
2022-11-02,Minnesota Wild,Montreal Canadiens,HOME,0.7088498,0.6931631024577083,0.015686685254388877,True,False,44.19800000000001,1.44198
2022-11-02,Chicago Blackhawks,New York Islanders,AWAY,0.6886622,0.6499783781323258,0.038683793231504726,True,False,53.789,1.53789
2022-11-03,Buffalo Sabres,Pittsburgh Penguins,AWAY,0.59040403,0.5316949730883513,0.05870906057253733,False,False,-100.0,1.88024
2022-11-03,Toronto Maple Leafs,Philadelphia Flyers,AWAY,0.25577527,0.24574335971529726,0.010031913130924663,False,False,-100.0,4.06929
2022-11-04,Ottawa Senators,Vegas Golden Knights,HOME,0.60800743,0.42961423255859565,0.17839319847167778,False,False,-100.0,2.32698
2022-11-04,Detroit Red Wings,Washington Capitals,AWAY,0.5461142,0.5294833008537723,0.01663090546031465,False,False,-100.0,1.88808
2022-11-04,Tampa Bay Lightning,Carolina Hurricanes,AWAY,0.59344983,0.49270568469056353,0.1007441463183476,True,False,102.902,2.02902
2022-11-04,New York Rangers,Boston Bruins,HOME,0.7439231,0.55588893333926,0.18803419431195456,False,False,-100.0,1.79841
2022-11-04,Colorado Avalanche,Columbus Blue Jackets,AWAY,0.29463452,0.2908711192557555,0.003763401751782358,False,False,-100.0,3.43624
2022-11-04,Arizona Coyotes,Dallas Stars,HOME,0.5365874,0.3112367888271224,0.2253506282985795,False,False,-100.0,3.21151
2022-11-04,San Jose Sharks,Florida Panthers,AWAY,0.7474135,0.655316956548266,0.09209655949635065,True,False,52.535,1.52535
2022-11-04,Edmonton Oilers,New Jersey Devils,HOME,0.72933865,0.6096124407495495,0.11972620518550914,False,False,-100.0,1.63978
2022-11-04,Vancouver Canucks,Anaheim Ducks,HOME,0.7500416,0.6251497370956512,0.12489186694640197,True,False,59.904,1.59904
2022-11-04,Minnesota Wild,Seattle Kraken,HOME,0.84373665,0.6080048447741052,0.2357318037854651,False,False,-100.0,1.64411
2022-11-04,Chicago Blackhawks,Los Angeles Kings,AWAY,0.7058437,0.629460254648371,0.07638343240912415,False,False,-100.0,1.5881
2022-11-04,Calgary Flames,Nashville Predators,HOME,0.7918463,0.70279827637705,0.0890479989525399,False,False,-100.0,1.42288
2022-11-04,St. Louis Blues,New York Islanders,HOME,0.7183129,0.5203052909101803,0.19800762822968176,False,False,-100.0,1.92135
2022-11-04,Winnipeg Jets,Montreal Canadiens,HOME,0.69667035,0.6577211438197743,0.03894920959285386,True,False,51.979,1.51979
2022-11-05,Carolina Hurricanes,Buffalo Sabres,HOME,0.8788625,0.6510623694623041,0.22780013072843075,True,False,53.535,1.53535
