date,home,away,side,line,model_prob,market_prob,edge,clv,odds,actual_total,won,push,profit
2021-05-25,DET,CLE,UNDER,8.5,0.7584737753710067,0.4730368968779565,0.28543687849305016,28.543687849305016,2.05,11,False,False,-100.0
2021-05-25,NYM,COL,UNDER,6.5,0.5638711658258732,0.47768266585142155,0.0861884999744516,8.61884999744516,2.03,5,True,False,102.99999999999999
2021-05-25,MIA,PHI,OVER,6.5,0.6131294417986156,0.5227418857390786,0.09038755605953697,9.038755605953696,1.862,15,True,False,86.20000000000002
2021-05-26,LAA,TEX,UNDER,9.0,0.6195235388698849,0.5296133293082721,0.08991020956161277,8.991020956161277,1.84,17,False,False,-100.0
2021-05-26,OAK,SEA,UNDER,8.5,0.6233187086641099,0.47079206056269063,0.15252664810141925,15.252664810141924,2.06,9,False,False,-100.0
2021-05-26,CWS,STL,UNDER,8.5,0.611266825054237,0.46855306129142593,0.14271376376281109,14.271376376281108,2.07,4,True,False,106.99999999999999
2021-05-26,MIN,BAL,OVER,8.5,0.7573163216404808,0.5204971789052903,0.23681914273519045,23.681914273519045,1.869,5,False,False,-100.0
2021-05-26,ARI,SF,UNDER,9.0,0.6169005954561091,0.5489619130224745,0.06793868243363455,6.7938682433634545,1.775,8,True,False,77.49999999999999
2021-05-26,OAK,SEA,UNDER,8.0,0.6233187086641099,0.45454132235161504,0.16877738631249484,16.877738631249485,2.13,7,True,False,112.99999999999999
2021-05-26,LAA,TEX,UNDER,8.5,0.5226186949985432,0.4652439506655315,0.05737474433301171,5.737474433301171,2.08,16,False,False,-100.0
2021-05-26,HOU,LAD,UNDER,8.5,0.6974601284852338,0.5192862929190121,0.17817383556622168,17.81738355662217,1.877,11,False,False,-100.0
2021-05-26,CWS,STL,UNDER,7.5,0.508100923478632,0.47994087128465773,0.028160052193974272,2.816005219397427,2.02,11,False,False,-100.0
2021-05-26,MIL,SD,OVER,7.0,0.559447404249211,0.47768266585142155,0.08176473839778947,8.176473839778946,2.03,8,True,False,102.99999999999999
2021-05-26,MIN,BAL,OVER,10.0,0.5863690167512929,0.4810860999793133,0.10528291677197965,10.528291677197965,2.02,11,True,False,102.0
2021-05-26,NYM,COL,UNDER,6.0,0.5638711658258732,0.4810860999793133,0.08278506584655987,8.278506584655986,2.02,4,True,False,102.0
2021-05-26,DET,CLE,UNDER,9.0,0.8287299599592138,0.5146547952960552,0.31407516466315866,31.407516466315865,1.892,5,True,False,89.19999999999999
2021-05-26,TB,KC,OVER,8.5,0.5948355825866516,0.5026236956915097,0.09221188689514193,9.221188689514193,1.934,3,False,False,-100.0
2021-05-26,BOS,ATL,UNDER,10.0,0.5141802757045355,0.4906843574733681,0.023495918231167423,2.349591823116742,1.98,4,True,False,98.0
2021-05-26,NYY,TOR,UNDER,9.0,0.6730209016736397,0.5026236956915097,0.17039720598213004,17.039720598213005,1.934,8,True,False,93.39999999999999
2021-05-26,WSH,CIN,OVER,7.5,0.7107855396996647,0.5097177692711545,0.2010677704285102,20.10677704285102,1.909,3,False,False,-100.0
2021-05-26,MIA,PHI,OVER,7.0,0.5032023642283681,0.47528517110266155,0.027917193125706508,2.7917193125706508,2.04,2,False,False,-100.0
2021-05-26,PIT,CHC,UNDER,9.0,0.5460488487741969,0.5251383739615388,0.020910474812658064,2.0910474812658064,1.854,7,True,False,85.4
2021-05-27,TB,KC,OVER,8.0,0.5948355825866516,0.47079206056269063,0.12404352202396096,12.404352202396096,2.06,9,True,False,106.0
2021-05-27,DET,CLE,UNDER,7.0,0.6695609879951865,0.5204971789052903,0.14906380908989614,14.906380908989615,1.869,7,False,True,0.0
2021-05-27,MIL,SD,UNDER,8.0,0.5447486761295535,0.47994087128465773,0.06480780484489573,6.480780484489573,2.02,11,False,False,-100.0
2021-05-27,PIT,CHC,OVER,7.5,0.6527651836969195,0.4977898132292621,0.15497537046765741,15.497537046765741,1.952,8,True,False,95.19999999999999
2021-05-27,MIA,PHI,OVER,7.0,0.5032023642283681,0.46855306129142593,0.03464930293694213,3.464930293694213,2.07,5,False,False,-100.0
2021-05-27,ARI,SF,UNDER,10.0,0.702813020400636,0.5961394012375855,0.10667361916305051,10.667361916305051,1.641,9,True,False,64.1
2021-05-27,HOU,LAD,UNDER,8.5,0.6974601284852338,0.5204971789052903,0.1769629495799434,17.69629495799434,1.869,7,True,False,86.9
2021-05-27,MIL,SD,UNDER,8.0,0.5447486761295535,0.5026236956915097,0.0421249804380438,4.212498043804381,1.934,3,True,False,93.39999999999999
2021-05-27,NYM,COL,UNDER,6.5,0.5638711658258732,0.46855306129142593,0.09531810453444722,9.531810453444722,2.07,0,True,False,106.99999999999999
2021-05-27,BOS,ATL,UNDER,10.5,0.5141802757045355,0.476453660117017,0.0377266155875185,3.7726615587518495,2.04,14,False,False,-100.0
2021-05-27,DET,CLE,UNDER,9.0,0.8287299599592138,0.4786956500926276,0.35003430986658624,35.00343098665862,2.03,1,True,False,102.99999999999999
2021-05-27,TB,KC,OVER,7.0,0.6918041241869959,0.47768266585142155,0.21412145833557433,21.41214583355743,2.03,3,False,False,-100.0
2021-05-27,NYY,TOR,UNDER,9.5,0.6730209016736397,0.5097177692711545,0.16330313240248517,16.33031324024852,1.909,0,True,False,90.9
2021-05-27,WSH,CIN,UNDER,10.5,0.5740319627829563,0.5216729006578296,0.052359062125126754,5.235906212512676,1.869,0,True,False,86.9
2021-05-27,PIT,CHC,OVER,8.5,0.5523049731727916,0.48814062355083254,0.06416434962195905,6.416434962195905,1.99,5,False,False,-100.0
2021-05-27,MIA,PHI,UNDER,7.0,0.49679763577163194,0.47768266585142155,0.01911496992021039,1.911496992021039,2.03,6,True,False,102.99999999999999
2021-05-28,CHC,CIN,OVER,6.5,0.8865105267145746,0.5073180630596352,0.3791924636549394,37.91924636549394,1.917,1,False,False,-100.0
2021-05-28,WSH,MIL,UNDER,9.5,0.6706575411993269,0.5296133293082721,0.14104421189105476,14.104421189105476,1.84,0,True,False,84.00000000000001
2021-05-28,LAD,SF,UNDER,7.5,0.5909063336947163,0.5158414922262687,0.07506484146844761,7.506484146844761,1.884,7,True,False,88.39999999999999
2021-05-28,SEA,TEX,UNDER,10.0,0.8211057535025995,0.6371943060316813,0.18391144747091825,18.391144747091825,1.537,5,True,False,53.69999999999999
2021-05-28,ARI,STL,UNDER,11.0,0.8812597862061884,0.6104521619163314,0.27080762428985694,27.080762428985693,1.602,9,True,False,60.20000000000001
2021-05-28,OAK,LAA,OVER,8.5,0.5419409420376237,0.4730368968779565,0.06890404515966714,6.890404515966714,2.05,5,False,False,-100.0
2021-05-28,CWS,BAL,OVER,8.5,0.6747696772923975,0.5084659582040982,0.16630371908829922,16.630371908829922,1.909,6,False,False,-100.0
2021-05-29,BOS,MIA,UNDER,7.5,0.564659188565767,0.5318441696582902,0.032815018907476845,3.2815018907476845,1.833,4,True,False,83.3
2021-05-29,DET,NYY,UNDER,8.5,0.8453074063837797,0.5073180630596352,0.33798934332414443,33.79893433241444,1.917,7,True,False,91.7
2021-05-29,HOU,SD,UNDER,8.0,0.5157142637376049,0.48814062355083254,0.02757364018677233,2.757364018677233,1.99,19,False,False,-100.0
2021-05-29,CLE,TOR,OVER,8.5,0.629138427541301,0.5122609662266345,0.11687746131466648,11.687746131466648,1.9,0,False,False,-100.0
2021-05-29,OAK,LAA,OVER,8.0,0.5419409420376237,0.5002075861482516,0.041733355889372103,4.17333558893721,1.943,4,False,False,-100.0
2021-05-29,PIT,COL,UNDER,7.5,0.5643197766384771,0.4953756681379324,0.06894410850054472,6.894410850054472,1.961,0,True,False,96.10000000000001
2021-05-29,CHC,CIN,OVER,7.0,0.6998138987973949,0.48814062355083254,0.21167327524656232,21.167327524656233,1.99,12,True,False,99.0
2021-05-29,MIN,KC,OVER,9.5,0.4968937936776326,0.4930942155117578,0.003799578165874784,0.3799578165874784,1.97,11,True,False,97.0
2021-05-29,CWS,BAL,OVER,7.5,0.7181852630646691,0.5026236956915097,0.21556156737315946,21.556156737315945,1.934,0,False,False,-100.0
2021-05-29,TB,PHI,OVER,7.0,0.7056698943611218,0.5192862929190121,0.18638360144210975,18.638360144210974,1.877,8,True,False,87.7
2021-05-29,LAD,SF,UNDER,9.0,0.7475057946785837,0.6599135513247765,0.08759224335380722,8.759224335380722,1.485,13,False,False,-100.0
2021-05-29,SEA,TEX,UNDER,8.0,0.6390793382784243,0.46315808975077466,0.17592124852764968,17.592124852764968,2.09,5,True,False,108.99999999999999
2021-05-29,OAK,LAA,OVER,8.0,0.5092492726535776,0.46631786090670846,0.0429314117468691,4.29314117468691,2.08,4,False,False,-100.0
2021-05-29,ARI,STL,UNDER,9.5,0.714745028816074,0.4930942155117578,0.22165081330431624,22.165081330431626,1.97,14,False,False,-100.0
2021-05-29,CWS,BAL,OVER,8.5,0.6242853707978976,0.4953756681379324,0.1289097026599652,12.89097026599652,1.961,0,False,False,-100.0
2021-05-29,HOU,SD,OVER,8.5,0.5941196415017063,0.48234613158402473,0.11177350991768153,11.177350991768154,2.01,13,True,False,100.99999999999997
2021-05-29,MIN,KC,OVER,9.0,0.4968937936776326,0.4953756681379324,0.0015181255397002102,0.15181255397002102,1.961,11,True,False,96.10000000000001
2021-05-29,BOS,MIA,UNDER,8.5,0.6987291238889533,0.47768266585142155,0.2210464580375317,22.10464580375317,2.03,7,True,False,102.99999999999999
2021-05-29,CLE,TOR,OVER,7.5,0.617889742982153,0.5073180630596352,0.11057167992251782,11.057167992251781,1.917,13,True,False,91.7
2021-05-29,NYM,ATL,UNDER,7.0,0.5300510824953966,0.5296133293082721,0.00043775318712446776,0.043775318712446776,1.84,0,True,False,84.00000000000001
2021-05-29,DET,NYY,UNDER,7.0,0.7694655556623902,0.5216729006578296,0.2477926550045606,24.77926550045606,1.869,5,True,False,86.9
2021-05-29,PIT,COL,UNDER,7.5,0.5643197766384771,0.5050428528860674,0.05927692375240967,5.927692375240968,1.925,0,True,False,92.5
2021-05-30,SEA,TEX,UNDER,8.0,0.6390793382784243,0.4786956500926276,0.16038368818579674,16.038368818579674,2.03,6,True,False,102.99999999999999
2021-05-30,LAD,SF,UNDER,7.0,0.5621093740968206,0.518094448617983,0.04401492547883756,4.401492547883756,1.877,9,False,False,-100.0
