date,home,away,side,line,model_prob,market_prob,edge,clv,odds,actual_total,won,push,profit
2021-02-12,WPG,OTT,UNDER,6.0,0.5473035296129395,0.4906843574733681,0.056619172139571405,5.661917213957141,1.98,6,False,True,0.0
2021-02-12,MTL,EDM,OVER,6.5,0.5838945874295404,0.47994087128465773,0.10395371614488264,10.395371614488264,2.02,3,False,False,-100.0
2021-02-12,FLA,TBL,OVER,5.5,0.545426641295295,0.5251383739615388,0.020288267333756105,2.0288267333756105,1.854,7,True,False,85.4
2021-02-12,NYI,PIT,UNDER,5.5,0.703600861838944,0.532966652276567,0.17063420956237696,17.063420956237696,1.826,7,False,False,-100.0
2021-02-13,SJS,VGK,UNDER,6.0,0.4895935570363047,0.47994087128465773,0.009652685751646961,0.9652685751646961,2.02,4,True,False,102.0
2021-02-13,WPG,OTT,UNDER,6.5,0.5473035296129395,0.5296133293082721,0.01769020030466739,1.7690200304667392,1.84,3,True,False,84.00000000000001
2021-02-13,ARI,ST ,OVER,5.5,0.5576205437683897,0.4535723357161,0.10404820805228965,10.404820805228965,2.13,5,False,False,-100.0
2021-02-13,NYR,BOS,UNDER,5.5,0.625556109044238,0.5296133293082721,0.09594277973596588,9.594277973596588,1.84,1,True,False,84.00000000000001
2021-02-14,PIT,WSH,OVER,6.5,0.6556388123046542,0.4906843574733681,0.16495445483128607,16.495445483128606,1.98,9,True,False,98.0
2021-02-14,VAN,CGY,UNDER,6.0,0.623758326348682,0.5073180630596352,0.11644026328904677,11.644026328904678,1.917,4,True,False,91.7
2021-02-14,NSH,DET,UNDER,5.5,0.689734111579863,0.5363023028820886,0.1534318086977744,15.34318086977744,1.819,6,False,False,-100.0
2021-02-14,CHI,CBJ,OVER,5.5,0.6599930096551551,0.5296133293082721,0.13037968034688296,13.037968034688296,1.84,5,False,False,-100.0
2021-02-14,DAL,CAR,OVER,5.5,0.5739401783357704,0.5372819978293807,0.03665818050638969,3.6658180506389693,1.813,7,True,False,81.3
2021-02-14,ARI,STL,OVER,5.5,0.4792248013136159,0.46855306129142593,0.010671740022189957,1.0671740022189957,2.07,9,True,False,106.99999999999999
2021-02-14,NYI,BOS,UNDER,5.0,0.8332504113738157,0.46974159514850883,0.3635088162253069,36.35088162253069,2.06,6,False,False,-100.0
2021-02-14,TOR,MTL,UNDER,6.0,0.6163129199279584,0.485736352022849,0.13057656790510946,13.057656790510947,2.0,3,True,False,100.0
2021-02-14,FLA,TBL,UNDER,6.0,0.61550368316043,0.5363023028820886,0.07920138027834145,7.920138027834145,1.819,7,False,False,-100.0
2021-02-15,ARI,ST ,OVER,5.5,0.5576205437683897,0.467490696935131,0.09012984683325864,9.012984683325865,2.07,1,False,False,-100.0
2021-02-15,VGK,COL,UNDER,5.5,0.6219596720193541,0.476453660117017,0.14550601190233708,14.550601190233708,2.04,1,True,False,104.0
