date,home,away,side,model_prob,market_prob,edge,clv,odds,won,profit
2021-02-12,WPG,OTT,HOME,0.8283695531444358,0.6598569430147544,0.16851261012968144,16.851261012968145,1.49,True,49.0
2021-02-12,MTL,EDM,HOME,0.7181477150529006,0.5867408307076681,0.1314068843452325,13.140688434523252,1.671,False,-100.0
2021-02-12,FLA,TBL,AWAY,0.7554756826824491,0.5788309929266853,0.17664468975576386,17.664468975576387,1.694,False,-100.0
2021-02-12,NYI,PIT,HOME,0.622558637788398,0.49284876442814757,0.12970987336025047,12.970987336025047,1.98,False,-100.0
2021-02-13,SJS,VGK,HOME,0.4139423589735274,0.365911668923122,0.04803069005040539,4.803069005040539,2.63,False,-100.0
2021-02-13,WPG,OTT,HOME,0.8283695531444358,0.6726351828558744,0.1557343702885614,15.57343702885614,1.462,False,-100.0
2021-02-13,ARI,ST ,HOME,0.6096764217486486,0.4442371337820128,0.16543928796663576,16.543928796663575,2.19,False,-100.0
2021-02-13,NYR,BOS,AWAY,0.6887513059684249,0.6210524354571256,0.0676988705112993,6.76988705112993,1.581,True,58.099999999999994
2021-02-14,PIT,WSH,AWAY,0.4868734762288822,0.4728736056139554,0.013999870614926802,1.3999870614926802,2.06,False,-100.0
2021-02-14,VAN,CGY,AWAY,0.605143683774449,0.5436880535423995,0.061455630232049585,6.145563023204959,1.8,False,-100.0
2021-02-14,NSH,DET,HOME,0.6401782054440587,0.6128239540627164,0.027354251381342287,2.7354251381342287,1.602,False,-100.0
2021-02-14,CHI,CBJ,HOME,0.6014665246166296,0.5098165170355189,0.09165000758111075,9.165000758111075,1.917,True,91.7
2021-02-14,DAL,CAR,AWAY,0.5246627987812732,0.5121848782536544,0.012477920527618758,1.2477920527618758,1.909,True,90.9
2021-02-14,ARI,STL,HOME,0.5187632425186871,0.50492554872784,0.013837693790847094,1.3837693790847094,1.934,False,-100.0
2021-02-14,NYI,BOS,AWAY,0.6133460542079677,0.5560467301672032,0.05729932404076454,5.729932404076454,1.763,False,-100.0
2021-02-14,TOR,MTL,HOME,0.6067724795771894,0.5560467301672032,0.0507257494099862,5.07257494099862,1.763,False,-100.0
2021-02-14,FLA,TBL,AWAY,0.7554756826824491,0.5687182228692972,0.18675745981315195,18.675745981315195,1.724,True,72.39999999999999
2021-02-15,ARI,ST ,HOME,0.6096764217486486,0.47746827223331006,0.1322081495153385,13.22081495153385,2.04,True,104.0
2021-02-15,VGK,COL,AWAY,0.522030878485874,0.50014754352534,0.021883334960534073,2.1883334960534073,1.952,False,-100.0
2021-02-16,SJS,ANA,HOME,0.5741092125764173,0.5074416315263337,0.06666758105008364,6.6667581050083635,1.925,True,92.5
2021-02-16,VAN,CGY,AWAY,0.605143683774449,0.550991509220843,0.0541521745536061,5.41521745536061,1.775,True,77.49999999999999
2021-02-16,EDM,WPG,AWAY,0.46398105578017435,0.4442371337820128,0.01974392199816155,1.974392199816155,2.19,True,119.0
2021-02-16,DAL,NSH,HOME,0.7195262251944236,0.5832774359123917,0.13624878928203188,13.624878928203188,1.68,False,-100.0
2021-02-16,DET,CHI,AWAY,0.6112589470116938,0.5239964158645155,0.0872625311471783,8.72625311471783,1.869,True,86.9
2021-02-16,BUF,NYI,HOME,0.5291385126797862,0.4740459824602986,0.05509253021948757,5.509253021948757,2.06,False,-100.0
2021-02-16,TOR,OTT,HOME,0.889800909860967,0.7395301025728253,0.1502708072881418,15.02708072881418,1.332,False,-100.0
2021-02-16,CAR,CBJ,HOME,0.7489745401737559,0.625375225135081,0.12359931503867483,12.359931503867482,1.571,True,57.099999999999994
2021-02-16,TBL,FLA,HOME,0.8533188536797977,0.6011421701232341,0.25217668355656353,25.217668355656354,1.632,False,-100.0
2021-02-17,CAR,FLA,HOME,0.7732682247154588,0.5609846402405502,0.21228358447490858,21.22835844749086,1.746,False,-100.0
2021-02-17,VGK,COL,AWAY,0.522030878485874,0.45237201264832144,0.0696588658375526,6.9658865837552595,2.15,True,114.99999999999999
2021-02-17,LAK,MIN,HOME,0.5353556453649083,0.4050698542963734,0.13028579106853494,13.028579106853494,2.39,True,139.0
2021-02-17,DAL,NSH,HOME,0.7195262251944236,0.5952522679111408,0.12427395728328272,12.427395728328271,1.649,False,-100.0
2021-02-17,PIT,WSH,AWAY,0.4868734762288822,0.47065468066079924,0.016218795568082978,1.6218795568082978,2.07,True,106.99999999999999
2021-02-17,BUF,NYI,HOME,0.5291385126797862,0.44119528626956145,0.08794322641022473,8.794322641022474,2.2,False,-100.0
2021-02-17,NYR,NJD,AWAY,0.47725785500806384,0.4306947537072051,0.04656310130085872,4.656310130085872,2.25,True,125.0
